RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
135,1327,,Dunkerque,-1,20,4,83%,24,2023/04/14
136,1327,,Gagzuull,+1,9,1,90%,10,2023/03/26
137,1326,,himynameisho,+3,10,1,91%,11,2023/04/08
138,1326,,ciamgyic,-1,58,37,61%,95,2023/04/14
139,1326,,LaDin2,+2,26,8,76%,34,2023/04/17
140,1325,,°NOSMarkov.-,+1,48,32,60%,80,2023/04/07
141,1325,,Potato slicer,+5,36,17,68%,53,2023/03/28
142,1324,,Mordo47,+6,9,1,90%,10,2023/03/29
143,1324,,CoH2 sucks,+2,40,26,61%,66,2023/04/15
144,1324,,Jimbob2121,+7,37,23,62%,60,2023/04/09
145,1323,,Hybris,+3,23,8,74%,31,2023/04/07
146,1322,,Jünker,+1,40,26,61%,66,2023/04/17
147,1321,,Tiefflieger,-1,57,33,63%,90,2023/04/13
148,1321,,Scio,+3,24,12,67%,36,2023/03/25
149,1320,,suomenpaskin,+1,50,27,65%,77,2023/04/04
150,1320,,Kamfrenchie,+4,28,13,68%,41,2023/04/17
151,1320,,digdigdig,+1,123,103,54%,226,2023/04/17
152,1319,,[GCDC]RwiAng,-3,18,10,64%,28,2023/03/26
153,1319,,Pete Weber,+5,10,1,91%,11,2023/03/29
154,1319,,Refero,-1,12,4,75%,16,2023/04/13
155,1319,,[DeanOfBao]hokkskyc,-4,31,14,69%,45,2023/03/24
156,1317,,bigfriendlybert,-3,21,7,75%,28,2023/03/23
157,1316,,Snoopa,+1,55,35,61%,90,2023/04/07
158,1315,,Twitch Yunicone≠≠Pony,+7,74,45,62%,119,2023/04/18
159,1315,,Okeyeg,-3,27,16,63%,43,2023/04/09
160,1315,,Tassos117,+3,24,11,69%,35,2023/04/10
161,1314,,Lyco,+3,18,7,72%,25,2023/04/18
162,1314,,DanielD,-2,14,4,78%,18,2023/04/17
163,1313,,SIMONK,-2,106,70,60%,176,2023/04/16
164,1313,,Kido,+1,51,39,57%,90,2023/04/11
165,1313,,炮击,-1,14,5,74%,19,2023/04/11
166,1312,,(✺ω✺)chupacabra,+7,19,8,70%,27,2023/04/08
167,1311,,McTerran,+4,181,138,57%,319,2023/04/17
168,1310,,Dugo,+1,9,1,90%,10,2023/04/16
169,1310,,Lt Beren,-4,67,39,63%,106,2023/04/08
170,1310,,Toiletguy,-2,72,44,62%,116,2023/04/18
171,1310,,[BPX] Cactlosio,+6,12,2,86%,14,2023/04/13
172,1308,,loovus,+2,66,42,61%,108,2023/04/17
173,1307,,[EPIC]gogy,+4,19,5,79%,24,2023/04/14
174,1306,,Make a wish™ |,-1,53,35,60%,88,2023/04/15
175,1306,,LENS,-2,42,26,62%,68,2023/04/08
176,1306,,Battlemeister,-1,15,5,75%,20,2023/04/14
177,1305,,Lardt,+1,44,33,57%,77,2023/04/17
178,1304,,Blafreak,+4,10,1,91%,11,2023/04/06
179,1301,,kekadam,+3,21,8,72%,29,2023/03/29
180,1301,,Azakura,+3,56,36,61%,92,2023/04/16
181,1300,,Slyzor,-1,98,75,57%,173,2023/04/12
182,1298,,BiliBilI_23984226_Luckyman55,-1,8,2,80%,10,2023/04/09
183,1298,,Deep♂Dark♂Fantasy,+1,27,15,64%,42,2023/04/17
184,1298,,Pony by Nature,+2,20,11,65%,31,2023/04/17
185,1291,,K. Ronaldo,-1,26,12,68%,38,2023/03/31
186,1291,,WordBearers[Borgore],-1,38,27,58%,65,2023/04/15
187,1289,,Stark,-1,17,8,68%,25,2023/04/08
188,1289,,ChuaMC,-2,41,28,59%,69,2023/04/14
189,1286,,X1Alpha2,+1,8,2,80%,10,2023/04/17
190,1285,,E-zy,-2,19,8,70%,27,2023/04/08
191,1285,,SexPistole,+3,43,29,60%,72,2023/04/12
192,1285,,Dezman,+2,15,6,71%,21,2023/04/13
193,1283,,KEI,+4,36,22,62%,58,2023/04/06
194,1283,,sakuya,+4,12,6,67%,18,2023/03/31
195,1280,,Auto Man,+8,8,2,80%,10,2023/03/25
196,1280,,alienman,-1,30,14,68%,44,2023/04/14
197,1279,,Hanwoomul,+1,17,7,71%,24,2023/04/17
198,1278,,PaniC-.-,+2,15,5,75%,20,2023/04/07
199,1278,,Faramir,+1,51,30,63%,81,2023/04/15
200,1278,,KyrreLubiWodę,-1,14,6,70%,20,2023/03/26
201,1277,,Enterprise Ω,-1,25,14,64%,39,2023/04/17
202,1277,,cat tank,+9,22,9,71%,31,2023/04/14
203,1276,,Altrersyr,-2,19,8,70%,27,2023/04/10
204,1276,,FuzZiioN,-1,31,17,65%,48,2023/04/16
205,1276,,Aim_Deusi,+4,17,7,71%,24,2023/03/27
206,1274,,AoE rage,-1,185,161,53%,346,2023/04/18
207,1272,,night_raven0203,-1,20,13,61%,33,2023/04/11
208,1272,,TimFranks,-1,21,7,75%,28,2023/03/29
