RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
304,1237,,Dullahan,+1,47,32,59%,79,2023/04/15
305,1236,,SKT,+1,10,3,77%,13,2023/03/31
306,1236,,RangerChooban,+1,32,19,63%,51,2023/04/13
307,1236,,HIBBLE,-1,18,7,72%,25,2023/03/23
308,1235,,-CK-,+3,98,80,55%,178,2023/03/22
309,1235,,Wheezy Yeezy,+3,9,2,82%,11,2023/04/01
310,1235,,Jeiseun,+4,42,29,59%,71,2023/04/06
311,1235,,Angry Android,+1,15,8,65%,23,2023/03/26
312,1235,,BreadMarshLivePlace,-2,46,33,58%,79,2023/04/10
313,1235,,Hanwoomul,+4,11,3,79%,14,2023/04/07
314,1234,,KlausurenSohn,-1,18,9,67%,27,2023/03/25
315,1233,,Shawman,-2,53,36,60%,89,2023/04/17
316,1232,,♥rcOrz,-2,45,40,53%,85,2023/03/22
317,1232,,JaminROCK,-1,25,16,61%,41,2023/03/21
318,1232,,Lanfeust,+1,48,32,60%,80,2023/04/01
319,1232,,mustachewarfare,-1,8,2,80%,10,2023/03/27
320,1231,,Begbie,+4,10,3,77%,13,2023/04/12
321,1231,,Stormless,+4,26,10,72%,36,2023/04/17
322,1230,,Sandwichtogo,-1,53,36,60%,89,2023/04/15
323,1230,,Interloper,-2,155,120,56%,275,2023/04/17
324,1229,,folder,+4,81,72,53%,153,2023/04/07
325,1228,,aBurningDog,+5,35,28,56%,63,2023/03/21
326,1228,,women respecter,-1,13,6,68%,19,2023/04/07
327,1228,,XQC,-1,9,3,75%,12,2023/04/06
328,1228,,Lifer,+7,20,9,69%,29,2023/04/12
329,1227,,MightyMouseJHM,+2,23,15,61%,38,2023/04/17
330,1226,,bisivan1,+1,28,14,67%,42,2023/04/16
331,1226,,A1_Prospector,+2,9,4,69%,13,2023/03/26
332,1226,,Screaming EAGLE,+3,16,8,67%,24,2023/04/01
333,1226,,DIRTY_FISHERMAN,-1,9,3,75%,12,2023/04/06
334,1226,,VindicareX,+5,60,45,57%,105,2023/04/06
335,1226,,davidj217,-1,23,14,62%,37,2023/04/04
336,1225,,Reakly,-1,60,33,65%,93,2023/04/16
337,1225,,Chillin,-4,39,22,64%,61,2023/04/08
338,1224,,Chiico,+1,13,5,72%,18,2023/03/30
339,1224,,Crusader From The Future,+2,75,58,56%,133,2023/04/14
340,1223,,FooKilla,+11,110,84,57%,194,2023/04/18
341,1223,,Arricio,+1,8,3,73%,11,2023/04/11
342,1223,,Pinky```,-1,141,106,57%,247,2023/04/10
343,1222,,[EL] TheVongKong,-1,17,9,65%,26,2023/04/04
344,1222,,CupcakeOfDeath,+1,10,4,71%,14,2023/04/12
345,1222,,Cheroid,+2,24,16,60%,40,2023/04/01
346,1221,,Eviltown103,-1,18,10,64%,28,2023/04/06
347,1221,,Quadro,+1,14,8,64%,22,2023/04/03
348,1220,,101st.Airbone,-1,12,5,71%,17,2023/04/14
349,1220,,Apoptosis,-1,7,3,70%,10,2023/03/30
350,1219,,Lanre92,+1,56,37,60%,93,2023/04/16
351,1219,,(KCC)TongTongBoy,-3,38,28,58%,66,2023/04/04
352,1218,,HasBeenDropped,-3,10,6,63%,16,2023/04/13
353,1217,,yapster,+4,11,5,69%,16,2023/04/16
354,1217,,Sosorryman,+2,8,2,80%,10,2023/04/14
